year;month;last;open;max;min;var
2018;1;19.63;18.64;19.71;18.325;POSITIVO
2018;2;20.11;19.565;20.28;19.33;POSITIVO
2018;3;20.11;20.195;20.45;20.075;POSITIVO
2018;4;20.513;20.115;20.935;20.0775;POSITIVO
2018;5;24.941;20.515;25.035;20.515;POSITIVO
2018;6;28.881;24.961;29.69;24.8375;POSITIVO
2018;7;27.389;28.9365;29.04;27.02;NEGATIVO
2018;8;36.8;27.6;41.75;27.08;POSITIVO
2018;9;41.28;37.25;41.75;36.1027;POSITIVO
2018;10;35.89;41.325;41.34;35.41;NEGATIVO
2018;11;37.706;35.8915;39.3;35.175;POSITIVO
2018;12;37.619;37.275;38.825;36.325;NEGATIVO
2019;1;37.269;37.655;38.31;36.7;NEGATIVO
2019;2;39.091;37.301;40.725;36.845;POSITIVO
2019;3;43.281;39.1195;43.965;39.085;POSITIVO
2019;4;44.242;43.3575;46.505;41.275;POSITIVO
2019;5;44.685;44.28;45.865;44.18;POSITIVO
2019;6;42.47;44.75;45.1762;42.0975;NEGATIVO
2019;7;43.8155;42.4715;43.9695;41.47;POSITIVO
2019;8;59.4955;43.8185;63.5127;43.8185;POSITIVO
2019;9;57.59;59.5;60.5;53.7373;NEGATIVO
2019;10;59.56;57.585;63.5166;57.4925;POSITIVO
2019;11;59.91;59.5685;59.965;59.389;POSITIVO
2019;12;59.86;59.841;60.2425;59.584;NEGATIVO
2020;1;60.27;59.819;60.3665;59.6245;POSITIVO
2020;2;62.12;59.988;62.3438;59.988;POSITIVO
2020;3;64.204;62.125;64.5638;62.099;POSITIVO
2020;4;66.77;64.35;66.8505;64.16;POSITIVO
2020;5;68.389;66.772;68.547;66.03;POSITIVO
2020;6;70.309;68.4785;70.47;68.4345;POSITIVO
2020;7;72.31;70.46;72.323;70.3895;POSITIVO
2020;8;74.022;72.2495;74.1975;72.19;POSITIVO
2020;9;76.17;74.131;76.18;74.131;POSITIVO
2020;10;78.32;76.18;78.357;76.069;POSITIVO
2020;11;81.3;78.214;81.575;78.1935;POSITIVO
2020;12;84.08;81.305;84.171;81.222;POSITIVO
2021;1;87.3;84.0875;87.33;84.0705;POSITIVO
2021;2;89.82;87.4505;89.834;87.2641;POSITIVO
2021;3;91.98;89.7425;92.085;89.7335;POSITIVO
2021;4;93.363;91.891;93.625;91.425;POSITIVO
2021;5;94.49;93.4805;94.704;93.27;POSITIVO
2021;6;95.7;94.6185;95.75;94.575;POSITIVO
2021;7;96.68;95.639;96.72;95.6175;POSITIVO
2021;8;97.74;96.575;97.785;96.57;POSITIVO
2021;9;98.73;97.6575;98.765;97.656;POSITIVO
2021;10;99.62;98.6515;99.745;98.6515;POSITIVO
2021;11;100.93;99.641;100.975;99.641;POSITIVO
2021;12;102.68;100.94;102.765;100.89;POSITIVO
