year;month;last;open;max;min;var
2018;1;602.15;615.43;615.43;597.27;NEGATIVO
2018;2;594.74;602.3;605.78;586.92;NEGATIVO
2018;3;603.4;594.92;611.32;593.59;POSITIVO
2018;4;613.18;603.9;614.34;593.46;POSITIVO
2018;5;630.39;613.36;639.7;613.11;POSITIVO
2018;6;653.71;630.59;655.91;626.15;POSITIVO
2018;7;637.12;653.94;664.9;636.09;NEGATIVO
2018;8;681.05;637.24;683.81;637.24;POSITIVO
2018;9;657.49;681.63;701.17;656.17;NEGATIVO
2018;10;695.66;657.84;701.1;653.53;POSITIVO
2018;11;671.37;696.01;696.01;664.46;NEGATIVO
2018;12;692.85;671.63;698.47;663.51;POSITIVO
2019;1;655.41;694;700.29;652.23;NEGATIVO
2019;2;655.5;655.8;667.71;647.24;POSITIVO
2019;3;680.05;655.83;686.76;653.91;POSITIVO
2019;4;677.34;680.51;680.91;658.63;NEGATIVO
2019;5;709.46;677.73;715.59;676.4;POSITIVO
2019;6;677.15;709.78;711.01;676.26;NEGATIVO
2019;7;703.4;677.51;704.58;673.83;POSITIVO
2019;8;720.8;703.58;726.78;702.53;POSITIVO
2019;9;728.3;721.65;729.3;704.62;POSITIVO
2019;10;740.6;728.76;742.03;707.92;POSITIVO
2019;11;803.12;741.58;838.69;732.66;POSITIVO
2019;12;751.5;798.55;809.15;742.88;NEGATIVO
2020;1;799.33;751.95;802.39;749.28;POSITIVO
2020;2;817.21;800.3;822.5;773.58;POSITIVO
2020;3;854.23;817.92;878.96;800.11;POSITIVO
2020;4;833.4;855.85;867.89;832.5;NEGATIVO
2020;5;798.4;834.7;842.72;798.2;NEGATIVO
2020;6;822.9;799.05;825.24;758.48;POSITIVO
2020;7;756.43;822.99;822.99;751.2;NEGATIVO
2020;8;776.21;756.76;809;753.84;POSITIVO
2020;9;784.77;776.38;791.28;757.43;POSITIVO
2020;10;773.05;785.05;804.7;767.57;NEGATIVO
2020;11;760.7;773.3;777.15;747.22;NEGATIVO
2020;12;709.75;763.42;763.42;705.49;NEGATIVO
2021;1;734.59;710.5;745.82;692.6;POSITIVO
2021;2;723.51;734.82;740.18;697.39;NEGATIVO
2021;3;720.2;723.89;743.36;712.47;NEGATIVO
2021;4;710.3;720.45;724;693.33;NEGATIVO
2021;5;722.43;710.75;738.17;690.28;POSITIVO
2021;6;731.7;722.88;757.8;713.62;POSITIVO
2021;7;756.2;732.3;772.91;727.42;POSITIVO
2021;8;772.63;756.65;796.13;752.92;POSITIVO
2021;9;810.53;773.23;816.36;761.85;POSITIVO
2021;10;813.2;810.83;832.99;800.4;POSITIVO
2021;11;826.7;813.5;849.25;787.79;POSITIVO
2021;12;851.1;827.38;876.75;818.5;POSITIVO
