year;month;last;open;max;min;var
2018;1;2830.20;2978.93;2983.82;2757.39;NEGATIVO
2018;2;2866.75;2830.65;2946.25;2792.56;POSITIVO
2018;3;2792.50;2868.00;2906.50;2769.02;NEGATIVO
2018;4;2808.60;2797.15;2835.40;2687.41;POSITIVO
2018;5;2890.35;2799.09;2943.05;2796.79;POSITIVO
2018;6;2931.05;2892.68;2960.75;2819.80;POSITIVO
2018;7;2890.50;2931.65;2942.88;2852.15;NEGATIVO
2018;8;3051.50;2893.35;3082.40;2887.65;POSITIVO
2018;9;2962.80;3049.25;3114.35;2960.11;NEGATIVO
2018;10;3219.51;2964.18;3230.47;2964.18;POSITIVO
2018;11;3234.00;3216.63;3292.89;3127.16;POSITIVO
2018;12;3247.50;3235.00;3303.50;3139.05;POSITIVO
2019;1;3105.00;3246.75;3265.74;3102.49;NEGATIVO
2019;2;3081.50;3104.50;3163.70;3064.90;NEGATIVO
2019;3;3188.03;3082.25;3207.00;3072.50;POSITIVO
2019;4;3233.25;3188.03;3254.24;3092.87;POSITIVO
2019;5;3380.00;3236.25;3397.83;3227.25;POSITIVO
2019;6;3212.75;3376.75;3381.11;3169.36;NEGATIVO
2019;7;3280.93;3213.50;3305.35;3163.50;POSITIVO
2019;8;3442.65;3281.43;3495.59;3281.43;POSITIVO
2019;9;3480.00;3442.90;3491.10;3347.25;POSITIVO
2019;10;3380.00;3479.75;3503.75;3369.50;NEGATIVO
2019;11;3518.00;3379.50;3549.20;3294.06;POSITIVO
2019;12;3287.23;3517.50;3527.70;3263.85;NEGATIVO
2020;1;3420.00;3288.23;3430.45;3239.00;POSITIVO
2020;2;3527.00;3421.00;3550.53;3341.00;POSITIVO
2020;3;4060.00;3524.00;4219.38;3412.00;POSITIVO
2020;4;3960.05;4064.47;4128.65;3831.78;NEGATIVO
2020;5;3730.00;3955.93;4010.78;3693.24;NEGATIVO
2020;6;3755.16;3732.84;3792.09;3546.09;POSITIVO
2020;7;3733.33;3756.75;3761.00;3598.73;NEGATIVO
2020;8;3741.00;3732.62;3886.79;3724.16;POSITIVO
2020;9;3827.00;3740.70;3908.07;3620.80;POSITIVO
2020;10;3870.35;3826.75;3904.85;3754.00;POSITIVO
2020;11;3596.25;3870.85;3881.49;3580.39;NEGATIVO
2020;12;3422.00;3601.75;3603.00;3404.80;NEGATIVO
2021;1;3569.01;3415.88;3665.41;3379.09;POSITIVO
2021;2;3647.00;3570.13;3651.95;3482.40;POSITIVO
2021;3;3661.70;3647.25;3755.00;3516.36;POSITIVO
2021;4;3753.30;3660.82;3759.05;3588.18;POSITIVO
2021;5;3708.00;3753.68;3863.78;3644.48;NEGATIVO
2021;6;3750.00;3708.75;3798.00;3573.75;POSITIVO
2021;7;3878.00;3751.00;3939.70;3726.80;POSITIVO
2021;8;3769.15;3876.47;4005.97;3759.87;NEGATIVO
2021;9;3807.80;3769.15;3862.00;3738.90;POSITIVO
2021;10;3760.00;3807.80;3807.80;3713.50;NEGATIVO
2021;11;3995.00;3760.33;4037.03;3756.87;POSITIVO
2021;12;4070.00;3996.79;4073.49;3877.19;POSITIVO
