year;month;last;open;max;min;var
2018;1;18.5905;19.66;19.6712;18.302;NEGATIVO
2018;2;18.8305;18.6;18.9763;18.307;POSITIVO
2018;3;18.15;18.8403;18.982;18.1537;NEGATIVO
2018;4;18.7125;18.1878;19.1467;17.9355;POSITIVO
2018;5;19.908;18.714;20.0555;18.694;POSITIVO
2018;6;19.909;19.909;20.9647;19.561;POSITIVO
2018;7;18.643;19.805;20.2031;18.4958;NEGATIVO
2018;8;19.08;18.648;19.3768;18.4023;POSITIVO
2018;9;18.708;19.085;19.6893;18.667;NEGATIVO
2018;10;20.3295;18.7184;20.475;18.4989;POSITIVO
2018;11;20.396;20.3398;20.6395;19.5739;POSITIVO
2018;12;19.6403;20.4053;20.6623;19.6048;NEGATIVO
2019;1;19.1058;19.6513;19.7241;18.8754;NEGATIVO
2019;2;19.2775;19.1065;19.4761;19.0154;POSITIVO
2019;3;19.4215;19.2825;19.6262;18.7464;POSITIVO
2019;4;18.9402;19.373;19.3869;18.7459;NEGATIVO
2019;5;19.612;18.9477;19.8333;18.7886;POSITIVO
2019;6;19.2162;19.6027;19.8818;18.8909;NEGATIVO
2019;7;19.1265;19.1915;19.3465;18.8613;NEGATIVO
2019;8;20.0575;19.134;20.261;19.1133;POSITIVO
2019;9;19.7275;20.063;20.169;19.3194;NEGATIVO
2019;10;19.228;19.7325;19.8654;19.0144;NEGATIVO
2019;11;19.562;19.2345;19.6619;19.046;POSITIVO
2019;12;18.925;19.527;19.6305;18.7995;NEGATIVO
2020;1;18.8353;18.9325;19.0365;18.6444;NEGATIVO
2020;2;19.611;18.855;19.9025;18.522;POSITIVO
2020;3;23.714;19.8645;25.448;19.1551;POSITIVO
2020;4;24.151;23.719;25.7573;23.2525;POSITIVO
2020;5;22.1675;24.175;24.8897;21.9972;NEGATIVO
2020;6;22.9889;22.2801;23.2305;21.4601;POSITIVO
2020;7;22.2714;22.9987;23.0932;21.8384;NEGATIVO
2020;8;21.8785;22.2644;22.9225;21.7404;NEGATIVO
2020;9;22.099;21.8915;22.7016;20.8382;POSITIVO
2020;10;21.171;22.1065;22.14;20.8244;NEGATIVO
2020;11;20.166;21.244;21.995;19.9272;NEGATIVO
2020;12;19.871;20.1825;20.6625;19.6902;NEGATIVO
2021;1;20.5855;19.8885;20.6045;19.5436;POSITIVO
2021;2;20.848;20.475;21.051;19.885;POSITIVO
2021;3;20.422;20.862;21.6381;20.2803;NEGATIVO
2021;4;20.226;20.439;20.498;19.78;NEGATIVO
2021;5;19.9461;20.2415;20.3365;19.7183;NEGATIVO
2021;6;19.931;19.9535;20.7507;19.5967;NEGATIVO
2021;7;19.855;19.945;20.2525;19.7444;NEGATIVO
2021;8;20.063;19.899;20.4678;19.8015;POSITIVO
2021;9;20.63;20.073;20.6854;19.8412;POSITIVO
2021;10;20.545;20.6415;20.9037;20.1138;NEGATIVO
2021;11;21.4368;20.5745;22.155;20.2463;POSITIVO
2021;12;20.487;21.4475;21.5226;20.3269;NEGATIVO
