year;month;last;open;max;min;var
2018;1;3.21;3.24;3.24;3.2;NEGATIVE
2018;2;3.26;3.22;3.28;3.21;POSITIVE
2018;3;3.23;3.27;3.28;3.21;NEGATIVE
2018;4;3.25;3.23;3.26;3.21;POSITIVE
2018;5;3.27;3.25;3.3;3.25;POSITIVE
2018;6;3.28;3.27;3.29;3.25;POSITIVE
2018;7;3.27;3.28;3.29;3.26;NEGATIVE
2018;8;3.3;3.27;3.33;3.26;POSITIVE
2018;9;3.3;3.31;3.34;3.29;NEGATIVE
2018;10;3.37;3.3;3.37;3.3;POSITIVE
2018;11;3.38;3.37;3.39;3.35;POSITIVE
2018;12;3.37;3.38;3.39;3.34;NEGATIVE
2019;1;3.33;3.37;3.38;3.31;NEGATIVE
2019;2;3.3;3.34;3.34;3.29;NEGATIVE
2019;3;3.32;3.31;3.32;3.28;POSITIVE
2019;4;3.3;3.32;3.34;3.28;NEGATIVE
2019;5;3.38;3.31;3.38;3.3;POSITIVE
2019;6;3.28;3.38;3.38;3.28;NEGATIVE
2019;7;3.3;3.29;3.31;3.27;POSITIVE
2019;8;3.39;3.3;3.4;3.3;POSITIVE
2019;9;3.37;3.4;3.41;3.31;NEGATIVE
2019;10;3.34;3.38;3.4;3.33;NEGATIVE
2019;11;3.4;3.35;3.41;3.33;POSITIVE
2019;12;3.31;3.4;3.41;3.3;NEGATIVE
2020;1;3.38;3.31;3.39;3.3;POSITIVE
2020;2;3.45;3.38;3.46;3.35;POSITIVE
2020;3;3.43;3.44;3.58;3.38;NEGATIVE
2020;4;3.37;3.44;3.48;3.34;NEGATIVE
2020;5;3.43;3.39;3.46;3.38;POSITIVE
2020;6;3.54;3.43;3.55;3.38;POSITIVE
2020;7;3.53;3.54;3.55;3.48;NEGATIVE
2020;8;3.54;3.53;3.6;3.53;POSITIVE
2020;9;3.6;3.54;3.61;3.52;POSITIVE
2020;10;3.61;3.6;3.63;3.56;POSITIVE
2020;11;3.61;3.61;3.67;3.56;NEGATIVE
2020;12;3.62;3.61;3.63;3.58;POSITIVE
2021;1;3.64;3.62;3.67;3.6;POSITIVE
2021;2;3.65;3.63;3.66;3.63;POSITIVE
2021;3;3.74;3.65;3.78;3.64;POSITIVE
2021;4;3.78;3.74;3.85;3.59;POSITIVE
2021;5;3.83;3.78;3.88;3.64;POSITIVE
2021;6;3.84;3.83;3.99;3.78;POSITIVE
2021;7;4.06;3.85;4.07;3.84;POSITIVE
2021;8;4.08;4.07;4.12;4.04;POSITIVE
2021;9;4.12;4.09;4.14;4.07;POSITIVE
2021;10;3.99;4.14;4.14;3.91;NEGATIVE
2021;11;4.05;3.99;4.08;3.98;POSITIVE
2021;12;3.99;4.06;4.1;3.95;NEGATIVE
